ticker,price,date
WRB,88.9,2022-03-07
MOMO,7.36,2022-03-07
TGT,211.04,2022-03-07
TV,9.19,2022-03-07
GLW,37.29,2022-03-07
MAS,51.93,2022-03-07
DOV,146.86,2022-03-07
HRL,52.2,2022-03-07
TECK,39.2,2022-03-07
AES,21.87,2022-03-07
PPL,26.15,2022-03-07
IXUS,61.54,2022-03-07
SEE,61.02,2022-03-07
NLY,6.98,2022-03-07
FRC,158.47,2022-03-07
EWT,59.36,2022-03-07
STX,100.09,2022-03-07
ADBE,437.97,2022-03-07
K,65.94,2022-03-07
M,21.42,2022-03-07
TSLA,804.58,2022-03-07
KBE,51.35,2022-03-07
TSM,99.29,2022-03-07
NYCB,11.13,2022-03-07
TRQ,19.35,2022-03-07
BAH,86.94,2022-03-07
BUFF,34.46,2022-03-07
ARI,12.94,2022-03-07
MET,61.97,2022-03-07
AFL,59.03,2022-03-07
TPR,32.12,2022-03-07
WPM,47.9,2022-03-07
LNT,60.76,2022-03-07
BTG,4.45,2022-03-07
WLL,84.96,2022-03-07
LKQ,42.86,2022-03-07
PCG,10.51,2022-03-07
CENX,28.36,2022-03-07
CLR,60.35,2022-03-07
IMGN,5.25,2022-03-07
HL,6.95,2022-03-07
LULU,302.38,2022-03-07
UAA,13.83,2022-03-07
CAG,33.7,2022-03-07
STLD,72.38,2022-03-07
PEP,162.45,2022-03-07
SO,69.23,2022-03-07
COST,528.52,2022-03-07
GKOS,55.16,2022-03-07
CCI,176.78,2022-03-07
ZTO,25.68,2022-03-07
VGK,55.42,2022-03-07
GS,321.89,2022-03-07
IJR,103.95,2022-03-07
ADT,7.32,2022-03-07
ALTR,64.49,2022-03-07
EMR,91.64,2022-03-07
CNP,28.73,2022-03-07
COTY,7.35,2022-03-07
MA,312.92,2022-03-07
AWI,86.87,2022-03-07
IYR,102.4,2022-03-07
ADP,208.39,2022-03-07
TZA,37.69,2022-03-07
BBVA,4.8,2022-03-07
MNST,75.0,2022-03-07
FEZ,36.2,2022-03-07
AER,43.89,2022-03-07
GTN,22.9,2022-03-07
EWY,67.11,2022-03-07
CDE,4.71,2022-03-07
NCR,34.37,2022-03-07
AMT,232.02,2022-03-07
PSTG,28.95,2022-03-07
SJM,135.82,2022-03-07
ETN,145.79,2022-03-07
DUK,106.7,2022-03-07
CL,76.68,2022-03-07
IDRA,0.42,2022-03-07
KAR,17.91,2022-03-07
NEE,84.18,2022-03-07
PXD,236.63,2022-03-07
ADM,83.97,2022-03-07
VTR,55.92,2022-03-07
VMW,112.38,2022-03-07
RIGL,3.09,2022-03-07
DKS,99.5,2022-03-07
WTI,6.22,2022-03-07
LRCX,489.15,2022-03-07
NXPI,169.72,2022-03-07
CE,133.62,2022-03-07
HUN,35.97,2022-03-07
CSTM,16.62,2022-03-07
GPK,18.92,2022-03-07
WELL,86.92,2022-03-07
TJX,58.33,2022-03-07
PLD,148.91,2022-03-07
KSS,51.15,2022-03-07
TLT,139.17,2022-03-07
DRI,117.79,2022-03-07
ENDP,2.19,2022-03-07
ATI,26.48,2022-03-07
IAG,3.36,2022-03-07
VFC,51.78,2022-03-07
BDN,13.35,2022-03-07
HON,182.16,2022-03-07
YNDX,18.94,2022-03-07
GOOGL,2527.57,2022-03-07
ICE,132.39,2022-03-07
OMER,6.24,2022-03-07
WY,38.47,2022-03-07
HEFA,30.88,2022-03-07
BLL,89.69,2022-03-07
CGNX,66.38,2022-03-07
AMGN,234.36,2022-03-07
FSLR,75.0,2022-03-07
IVZ,18.64,2022-03-07
DG,203.72,2022-03-07
SID,5.6,2022-03-07
SLM,17.16,2022-03-07
SLCA,15.42,2022-03-07
SGU,10.26,2022-03-07
ODP,42.51,2022-03-07
PK,16.87,2022-03-07
TOL,49.05,2022-03-07
PDCO,31.8,2022-03-07
ITB,62.84,2022-03-07
Z,49.57,2022-03-07
BCO,64.36,2022-03-07
CME,235.73,2022-03-07
BKD,6.92,2022-03-07
PPBI,34.67,2022-03-07
AIV,7.13,2022-03-07
EXC,43.83,2022-03-07
TAP,51.56,2022-03-07
MON,9.76,2022-03-07
UNP,261.46,2022-03-07
IWD,158.43,2022-03-07
BDX,276.05,2022-03-07
GME,99.35,2022-03-07
MX,16.0,2022-03-07
RLJ,12.21,2022-03-07
USMV,74.08,2022-03-07
NCLH,15.38,2022-03-07
NOV,21.19,2022-03-07
CNDT,4.16,2022-03-07
LMT,466.15,2022-03-07
MTZ,71.94,2022-03-07
TBT,18.61,2022-03-07
WEN,20.94,2022-03-07
VNQ,103.16,2022-03-07
GPS,14.1,2022-03-07
SYY,77.75,2022-03-07
CEF,19.8,2022-03-07
FTV,57.78,2022-03-07
BKI,58.44,2022-03-07
CTSH,86.6,2022-03-07
HOLX,71.65,2022-03-07
EIX,66.19,2022-03-07
URA,23.76,2022-03-07
CTXS,101.23,2022-03-07
CPE,60.68,2022-03-07
XME,57.6,2022-03-07
CF,95.69,2022-03-07
PNC,178.7,2022-03-07
SABR,7.95,2022-03-07
WIT,7.24,2022-03-07
LYB,94.78,2022-03-07
DISH,29.47,2022-03-07
MGA,57.27,2022-03-07
AEO,16.51,2022-03-07
XHB,65.57,2022-03-07
BP,28.5,2022-03-07
XEL,71.55,2022-03-07
NTNX,23.13,2022-03-07
VVV,28.65,2022-03-07
HQY,51.08,2022-03-07
ARCC,20.95,2022-03-07
UPS,201.18,2022-03-07
MUR,37.48,2022-03-07
VMC,170.18,2022-03-07
SDS,44.17,2022-03-07
NOMD,21.3,2022-03-07
ANTM,454.53,2022-03-07
SFIX,10.55,2022-03-07
GD,247.29,2022-03-07
KIM,23.17,2022-03-07
FNF,44.9,2022-03-07
BXMT,31.35,2022-03-07
NWS,20.52,2022-03-07
CHD,101.71,2022-03-07
XLY,163.19,2022-03-07
DLR,136.12,2022-03-07
IP,40.98,2022-03-07
SE,89.99,2022-03-07
CC,23.12,2022-03-07
DAN,14.61,2022-03-07
ZBH,116.68,2022-03-07
NVAX,69.73,2022-03-07
LPX,63.41,2022-03-07
BBY,104.71,2022-03-07
GRUB,5.95,2022-03-07
BG,108.75,2022-03-07
LC,14.64,2022-03-07
PWR,108.01,2022-03-07
TNDM,104.88,2022-03-07
DXCM,420.81,2022-03-07
NTCT,31.17,2022-03-07
NYMT,3.52,2022-03-07
NEM,77.85,2022-03-07
BEN,27.21,2022-03-07
SHLX,14.06,2022-03-07
NAVI,16.08,2022-03-07
PBH,58.5,2022-03-07
SBH,15.93,2022-03-07
NI,30.11,2022-03-07
LLY,261.64,2022-03-07
STNG,18.62,2022-03-07
TTWO,158.0,2022-03-07
KLAC,314.14,2022-03-07
LADR,11.11,2022-03-07
XRT,72.15,2022-03-07
FHN,23.45,2022-03-07
GOOG,2529.29,2022-03-07
HSIC,86.86,2022-03-07
HLX,4.95,2022-03-07
RSG,127.96,2022-03-07
BIG,36.22,2022-03-07
CYH,10.65,2022-03-07
PAYC,301.34,2022-03-07
GCP,31.5,2022-03-07
YUM,113.3,2022-03-07
STZ,212.98,2022-03-07
EWH,21.39,2022-03-07
LBTYK,23.67,2022-03-07
LYG,2.11,2022-03-07
MEOH,53.92,2022-03-07
GIII,22.79,2022-03-07
USFD,32.3,2022-03-07
SSO,56.49,2022-03-07
SFM,33.59,2022-03-07
SPXL,96.06,2022-03-07
THC,87.13,2022-03-07
DOC,16.86,2022-03-07
ALLY,40.81,2022-03-07
QRVO,123.68,2022-03-07
TOPS,1.49,2022-03-07
HEDJ,66.23,2022-03-07
EVR,110.37,2022-03-07
CMS,66.98,2022-03-07
XLB,80.18,2022-03-07
DOX,80.44,2022-03-07
RIO,79.54,2022-03-07
HMHC,20.88,2022-03-07
NMRK,15.95,2022-03-07
PDM,16.95,2022-03-07
KMT,28.78,2022-03-07
SRNE,2.12,2022-03-07
AMR,116.64,2022-03-07
HP,42.07,2022-03-07
FLR,26.44,2022-03-07
JHG,30.0,2022-03-07
FDX,201.09,2022-03-07
EMN,105.27,2022-03-07
OPK,3.12,2022-03-07
LNG,139.01,2022-03-07
EWZ,33.03,2022-03-07
WU,17.52,2022-03-07
BAX,84.98,2022-03-07
CARS,14.2,2022-03-07
NUAN,55.99,2022-03-07
TEL,127.7,2022-03-07
MLM,359.99,2022-03-07
GWW,490.97,2022-03-07
PBF,19.84,2022-03-07
GT,11.82,2022-03-07
EA,126.26,2022-03-07
GPRO,7.66,2022-03-07
BW,6.83,2022-03-07
CMI,189.6,2022-03-07
CNQ,59.59,2022-03-07
HCA,259.82,2022-03-07
VRTX,235.54,2022-03-07
SAN,2.8,2022-03-07
CNHI,13.49,2022-03-07
CNX,18.29,2022-03-07
YY,40.12,2022-03-07
ES,86.66,2022-03-07
DXJ,58.43,2022-03-07
FWONK,56.77,2022-03-07
ARMK,32.77,2022-03-07
OII,16.7,2022-03-07
NOW,519.62,2022-03-07
APTV,97.63,2022-03-07
HOMB,21.5,2022-03-07
QD,0.77,2022-03-07
NSC,278.31,2022-03-07
NKTR,10.12,2022-03-07
PSX,82.6,2022-03-07
GAB,6.79,2022-03-07
CERN,93.08,2022-03-07
UPRO,51.06,2022-03-07
MCHI,53.36,2022-03-07
AKAM,112.01,2022-03-07
IEF,112.52,2022-03-07
PNW,75.37,2022-03-07
AMH,39.07,2022-03-07
CDNS,150.4,2022-03-07
LABD,48.89,2022-03-07
FOE,21.52,2022-03-07
A,130.34,2022-03-07
MDRX,20.84,2022-03-07
MOS,61.14,2022-03-07
LPL,7.38,2022-03-07
SKX,34.26,2022-03-07
HST,16.57,2022-03-07
UE,18.05,2022-03-07
PHM,46.27,2022-03-07
MT,27.96,2022-03-07
ISBC,14.79,2022-03-07
CAAP,5.5,2022-03-07
WRE,24.22,2022-03-07
RRC,26.73,2022-03-07
FL,28.03,2022-03-07
NTAP,78.62,2022-03-07
AGO,59.86,2022-03-07
DRE,54.52,2022-03-07
BBBY,21.71,2022-03-07
CCJ,23.99,2022-03-07
MAR,148.06,2022-03-07
AXTA,22.57,2022-03-07
VIAV,15.55,2022-03-07
SHOO,38.25,2022-03-07
CONE,90.12,2022-03-07
AEM,58.26,2022-03-07
BB,6.3,2022-03-07
CB,198.92,2022-03-07
PRU,102.05,2022-03-07
RUN,27.92,2022-03-07
PVG,15.25,2022-03-07
HA,14.91,2022-03-07
INDA,40.18,2022-03-07
PBCT,20.07,2022-03-07
UCBI,35.37,2022-03-07
LBTYA,23.23,2022-03-07
AVYA,12.28,2022-03-07
CBSH,69.12,2022-03-07
ANF,26.5,2022-03-07
HIG,65.38,2022-03-07
ITW,206.53,2022-03-07
AZN,56.5,2022-03-07
YELP,30.7,2022-03-07
MTOR,34.94,2022-03-07
EVC,5.99,2022-03-07
SPXS,22.66,2022-03-07
IRM,51.07,2022-03-07
TSCO,227.48,2022-03-07
EWC,38.06,2022-03-07
POST,97.5,2022-03-07
