indicator_id,country_id,date_id,stat,created_at,updated_at
1,1,42183,0.12,2015-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42153,-0.04,2015-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42122,-0.2,2015-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42092,-0.07,2015-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42061,-0.03,2015-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42033,-0.09,2015-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,42002,0.76,2014-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41971,1.32,2014-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41941,1.66,2014-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41910,1.66,2014-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41880,1.7,2014-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41849,1.99,2014-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41818,2.07,2014-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41788,2.13,2014-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41757,1.95,2014-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41727,1.51,2014-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41696,1.13,2014-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41668,1.58,2014-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41637,1.5,2013-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41606,1.24,2013-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
