sentiment_id,date_id,stat,created_at,updated_at
1,43515,39.32,2019-02-21 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43508,35.1,2019-02-14 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43501,39.87,2019-02-07 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43494,31.76,2019-01-31 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43487,37.66,2019-01-24 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43480,33.53,2019-01-17 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43473,38.46,2019-01-10 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43466,33.02,2019-01-03 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43459,31.55,2018-12-27 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43452,24.86,2018-12-20 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43445,20.9,2018-12-13 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43438,37.94,2018-12-06 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43431,33.88,2018-11-29 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43424,25.25,2018-11-22 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43417,35.09,2018-11-15 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43410,41.28,2018-11-08 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43403,37.93,2018-11-01 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43396,27.97,2018-10-25 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43389,33.94,2018-10-18 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43382,30.61,2018-10-11 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43375,45.66,2018-10-04 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
