ticker,price,date
M,24.8,2022-03-06
TSLA,838.29,2022-03-06
KBE,53.61,2022-03-06
TSM,105.06,2022-03-06
STL,26.29,2022-03-06
NYCB,11.33,2022-03-06
TRQ,20.77,2022-03-06
BAH,86.33,2022-03-06
BUFF,34.95,2022-03-06
ARI,13.34,2022-03-06
MET,63.98,2022-03-06
AFL,60.1,2022-03-06
TPR,36.45,2022-03-06
WPM,46.73,2022-03-06
LNT,60.59,2022-03-06
BTG,4.35,2022-03-06
WLL,83.43,2022-03-06
LKQ,44.95,2022-03-06
PCG,11.2,2022-03-06
CENX,29.49,2022-03-06
CLR,60.9,2022-03-06
IMGN,5.19,2022-03-06
HL,6.84,2022-03-06
LULU,320.58,2022-03-06
UAA,15.26,2022-03-06
CAG,34.4,2022-03-06
STLD,77.38,2022-03-06
PEP,165.75,2022-03-06
SO,67.58,2022-03-06
COST,525.5,2022-03-06
GKOS,54.34,2022-03-06
CCI,179.1,2022-03-06
ZTO,27.8,2022-03-06
VGK,57.31,2022-03-06
GS,329.67,2022-03-06
IJR,106.33,2022-03-06
ADT,7.59,2022-03-06
ALTR,65.09,2022-03-06
EMR,91.58,2022-03-06
CNP,28.99,2022-03-06
COTY,8.12,2022-03-06
MA,330.76,2022-03-06
AWI,89.26,2022-03-06
IYR,104.54,2022-03-06
ADP,208.46,2022-03-06
TZA,35.15,2022-03-06
BBVA,5.29,2022-03-06
MNST,81.32,2022-03-06
FEZ,37.6,2022-03-06
AER,47.66,2022-03-06
GTN,22.81,2022-03-06
EWY,69.99,2022-03-06
CDE,4.64,2022-03-06
NCR,36.52,2022-03-06
AMT,238.28,2022-03-06
PSTG,29.41,2022-03-06
SJM,133.78,2022-03-06
ETN,149.78,2022-03-06
DUK,105.26,2022-03-06
CL,77.36,2022-03-06
IDRA,0.41,2022-03-06
KAR,17.89,2022-03-06
NEE,80.21,2022-03-06
PXD,241.16,2022-03-06
ADM,82.8,2022-03-06
VTR,55.96,2022-03-06
VMW,119.26,2022-03-06
RIGL,3.04,2022-03-06
DKS,109.71,2022-03-06
WTI,5.78,2022-03-06
LRCX,525.78,2022-03-06
NXPI,176.45,2022-03-06
CE,141.9,2022-03-06
HUN,37.91,2022-03-06
CSTM,17.84,2022-03-06
GPK,20.29,2022-03-06
